Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],uo [m s-1],vo [m s-1]
global-analysis-forecast-phy-001-024_1650864290144.nc,152,B,2022-04-01T12:00:00,98.41666,1.16667,0,0.49402,1.16667,98.41666,633324,-0.01648,-0.139775
global-analysis-forecast-phy-001-024_1650864290144.nc,153,B,2022-04-01T12:00:00,98.5,1.16667,0,0.49402,1.16667,98.5,633324,-0.040284,-0.153203
global-analysis-forecast-phy-001-024_1650864290144.nc,154,B,2022-04-01T12:00:00,98.58334,1.16667,0,0.49402,1.16667,98.58334,633324,-0.039674,-0.18067
global-analysis-forecast-phy-001-024_1650864290144.nc,155,B,2022-04-01T12:00:00,98.66666,1.16667,0,0.49402,1.16667,98.66666,633324,-0.01709,-0.201422
global-analysis-forecast-phy-001-024_1650864290144.nc,156,B,2022-04-01T12:00:00,98.75,1.16667,0,0.49402,1.16667,98.75,633324,0.002441,-0.186163
global-analysis-forecast-phy-001-024_1650864290144.nc,157,B,2022-04-01T12:00:00,98.83334,1.16667,0,0.49402,1.16667,98.83334,633324,0.017701,-0.13245
global-analysis-forecast-phy-001-024_1650864290144.nc,163,B,2022-04-01T12:00:00,97.66666,1.25,0,0.49402,1.25,97.66666,633324,0.06531,-0.175787
global-analysis-forecast-phy-001-024_1650864290144.nc,164,B,2022-04-01T12:00:00,97.75,1.25,0,0.49402,1.25,97.75,633324,0.059206,-0.159307
global-analysis-forecast-phy-001-024_1650864290144.nc,165,B,2022-04-01T12:00:00,97.83334,1.25,0,0.49402,1.25,97.83334,633324,0.072634,-0.155034
global-analysis-forecast-phy-001-024_1650864290144.nc,166,B,2022-04-01T12:00:00,97.91666,1.25,0,0.49402,1.25,97.91666,633324,0.079958,-0.18189
global-analysis-forecast-phy-001-024_1650864290144.nc,167,B,2022-04-01T12:00:00,98.0,1.25,0,0.49402,1.25,98.0,633324,0.075076,-0.18128
global-analysis-forecast-phy-001-024_1650864290144.nc,168,B,2022-04-01T12:00:00,98.08334,1.25,0,0.49402,1.25,98.08334,633324,0.060427,-0.169683
global-analysis-forecast-phy-001-024_1650864290144.nc,169,B,2022-04-01T12:00:00,98.16666,1.25,0,0.49402,1.25,98.16666,633324,0.040895,-0.154424
global-analysis-forecast-phy-001-024_1650864290144.nc,170,B,2022-04-01T12:00:00,98.25,1.25,0,0.49402,1.25,98.25,633324,0.017701,-0.142827
global-analysis-forecast-phy-001-024_1650864290144.nc,171,B,2022-04-01T12:00:00,98.33334,1.25,0,0.49402,1.25,98.33334,633324,-0.007324,-0.140385
global-analysis-forecast-phy-001-024_1650864290144.nc,172,B,2022-04-01T12:00:00,98.41666,1.25,0,0.49402,1.25,98.41666,633324,-0.031739,-0.146489
global-analysis-forecast-phy-001-024_1650864290144.nc,173,B,2022-04-01T12:00:00,98.5,1.25,0,0.49402,1.25,98.5,633324,-0.047609,-0.160527
global-analysis-forecast-phy-001-024_1650864290144.nc,174,B,2022-04-01T12:00:00,98.58334,1.25,0,0.49402,1.25,98.58334,633324,-0.040895,-0.182501
global-analysis-forecast-phy-001-024_1650864290144.nc,175,B,2022-04-01T12:00:00,98.66666,1.25,0,0.49402,1.25,98.66666,633324,-0.014649,-0.199591
global-analysis-forecast-phy-001-024_1650864290144.nc,176,B,2022-04-01T12:00:00,98.75,1.25,0,0.49402,1.25,98.75,633324,0.00061,-0.183111
global-analysis-forecast-phy-001-024_1650864290144.nc,177,B,2022-04-01T12:00:00,98.83334,1.25,0,0.49402,1.25,98.83334,633324,0.006104,-0.130619
global-analysis-forecast-phy-001-024_1650864290144.nc,182,B,2022-04-01T12:00:00,97.58334,1.33333,0,0.49402,1.33333,97.58334,633324,0.097659,-0.183721
global-analysis-forecast-phy-001-024_1650864290144.nc,183,B,2022-04-01T12:00:00,97.66666,1.33333,0,0.49402,1.33333,97.66666,633324,0.08301,-0.217902
global-analysis-forecast-phy-001-024_1650864290144.nc,184,B,2022-04-01T12:00:00,97.75,1.33333,0,0.49402,1.33333,97.75,633324,0.051881,-0.201422
global-analysis-forecast-phy-001-024_1650864290144.nc,185,B,2022-04-01T12:00:00,97.83334,1.33333,0,0.49402,1.33333,97.83334,633324,0.045167,-0.187384
global-analysis-forecast-phy-001-024_1650864290144.nc,186,B,2022-04-01T12:00:00,97.91666,1.33333,0,0.49402,1.33333,97.91666,633324,0.046999,-0.177618
global-analysis-forecast-phy-001-024_1650864290144.nc,187,B,2022-04-01T12:00:00,98.0,1.33333,0,0.49402,1.33333,98.0,633324,0.044557,-0.1648
global-analysis-forecast-phy-001-024_1650864290144.nc,188,B,2022-04-01T12:00:00,98.08334,1.33333,0,0.49402,1.33333,98.08334,633324,0.034181,-0.151372
global-analysis-forecast-phy-001-024_1650864290144.nc,189,B,2022-04-01T12:00:00,98.16666,1.33333,0,0.49402,1.33333,98.16666,633324,0.021363,-0.142216
global-analysis-forecast-phy-001-024_1650864290144.nc,190,B,2022-04-01T12:00:00,98.25,1.33333,0,0.49402,1.33333,98.25,633324,0.006714,-0.138554
